table_name,column_name,data_type,is_required,primary_key,empty_is_na,mincellcount,description
threshold_summary,prediction_threshold,float,Yes,No,No,No,The cut-off value being summarised
threshold_summary,preference_threshold,float,Yes,No,No,No,the preference score of the cut-off value
threshold_summary,positive_count,int,Yes,No,No,No,the number of patients predicted to have the outcome at the cut-off
threshold_summary,negative_count,int,Yes,No,No,No,the number of patients predicted to not have the outcome at the cut-off
threshold_summary,true_count,int,Yes,No,No,No,the number of patients with the outcome
threshold_summary,false_count,int,Yes,No,No,No,the number of patients without the outcome
threshold_summary,true_positive_count,int,Yes,No,No,No,the number of patients correctly predicted to have the outcome at the cut-off
threshold_summary,true_negative_count,int,Yes,No,No,No,the number of patients correctly predicted to not have the outcome at the cut-off
threshold_summary,false_positive_count,int,Yes,No,No,No,the number of patients incorrectly predicted to have the outcome at the cut-off
threshold_summary,false_negative_count,int,Yes,No,No,No,the number of patients incorrectly predicted to not have the outcome at the cut-off
threshold_summary,f_1_score,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,accuracy,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,sensitivity,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,false_negative_rate,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,false_positive_rate,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,specificity ,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,positive_predictive_value,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,false_discovery_rate,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,negative_predictive_value,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,false_omission_rate,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,positive_likelihood_ratio,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,negative_likelihood_ratio,float,No,No,Yes,No,the named metric at the cut-off
threshold_summary,diagnostic_odds_ratio,float,No,No,Yes,No,the named metric at the cut-off
calibration_summary,performance_id,int,Yes,No,No,No,The corresponding performance id
calibration_summary,evaluation,varchar,Yes,No,No,No,The type of evalaution (test/train/CV)
calibration_summary,prediction_threshold,float,Yes,No,No,No,The cut-off value being summarised
calibration_summary,person_count_at_risk,int,Yes,No,No,Yes,The number of people in the target population
calibration_summary,person_count_with_outcome,int,Yes,No,No,Yes,The number of target patients with the outcome during TAR
calibration_summary,average_predicted_probability,float,Yes,No,No,No,the mean predicted risk 
calibration_summary,st_dev_predicted_probability,float,Yes,No,No,No,the standard deviation of the predicted risk
calibration_summary,min_predicted_probability,float,Yes,No,No,No,the min predicted risk
calibration_summary,p_25_predicted_probability,float,Yes,No,No,No,the 25% quantile of predicted risk
calibration_summary,median_predicted_probability,float,Yes,No,No,No,The median predicted risk
calibration_summary,p_75_predicted_probability,float,Yes,No,No,No,the 75% quantile of predicted risk
calibration_summary,max_predicted_probability,float,Yes,No,No,No,the max predicted risk
calibration_summary,observed_incidence,float,Yes,No,No,No,The true incidence (outcome %)
evaluation_statistics,performance_id,int,Yes,No,No,No,The corresponding performance id
evaluation_statistics,evaluation,varchar,Yes,No,No,No,The type of evalaution (test/train/CV)
evaluation_statistics,metric,varchar,Yes,No,No,No,The metric of interest
evaluation_statistics,value,float,Yes,No,No,No,The value for the metric of interest
demographic_summary,performance_id,int,Yes,No,No,No,The corresponding performance id
demographic_summary,evaluation,varchar,Yes,No,No,No,The type of evalaution (test/train/CV)
demographic_summary,age_group,varchar,Yes,No,No,No,The age group of interest
demographic_summary,gen_group,varchar,Yes,No,No,No,The gender of interest
demographic_summary,person_count_at_risk,int,Yes,No,No,Yes,The number of target patients with the age/gender of interest
demographic_summary,person_count_with_outcome,int,Yes,No,No,Yes,The number of target patients with the age/gender of interest who also have the outcome during TAR
demographic_summary,average_predicted_probability,float,Yes,No,No,No,the mean predicted risk 
demographic_summary,st_dev_predicted_probability,float,Yes,No,No,No,the standard deviation of the predicted risk
demographic_summary,min_predicted_probability,float,Yes,No,No,No,the min predicted risk
demographic_summary,p_25_predicted_probability,float,Yes,No,No,No,the 25% quantile of predicted risk
demographic_summary,p_50_predicted_probability,float,Yes,No,No,No,The median predicted risk
demographic_summary,p_75_predicted_probability,float,Yes,No,No,No,the 75% quantile of predicted risk
demographic_summary,max_predicted_probability,float,Yes,No,No,No,the max predicted risk
